Step 91. Reward: 12.859759, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 806.187810. Return so far: 847.175462. Done: 0. Took 266.080127 seconds!
Step 92. Reward: 12.864081, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 807.198907. Return so far: 860.039543. Done: 0. Took 264.820509 seconds!
Step 93. Reward: 12.831892, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 807.006879. Return so far: 872.871435. Done: 0. Took 265.017668 seconds!
Step 94. Reward: 12.869331, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 808.711956. Return so far: 885.740766. Done: 0. Took 264.592189 seconds!
Step 95. Reward: 12.898147, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 808.743853. Return so far: 898.638912. Done: 0. Took 263.841417 seconds!
Step 96. Reward: 12.850229, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 807.752003. Return so far: 911.489141. Done: 0. Took 263.264538 seconds!
Step 97. Reward: 12.860316, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 808.276847. Return so far: 924.349457. Done: 0. Took 266.131530 seconds!
Step 98. Reward: 12.862363, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 808.712122. Return so far: 937.211820. Done: 0. Took 263.722390 seconds!
Step 99. Reward: 12.824855, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 813.566644. Return so far: 950.036676. Done: 0. Took 264.438627 seconds!
Step 100. Reward: 12.863708, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 815.719357. Return so far: 962.900384. Done: 0. Took 267.312098 seconds!
Step 101. Reward: 12.888562, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 815.178097. Return so far: 975.788946. Done: 0. Took 265.389863 seconds!
Step 102. Reward: 12.827996, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 818.175399. Return so far: 988.616941. Done: 0. Took 262.190830 seconds!
Step 103. Reward: 12.835017, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 820.993899. Return so far: 1001.451959. Done: 0. Took 261.174049 seconds!
Step 104. Reward: 12.821677, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 821.905354. Return so far: 1014.273636. Done: 0. Took 263.492734 seconds!
Step 105. Reward: 12.814220, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 821.067092. Return so far: 1027.087856. Done: 0. Took 264.610370 seconds!
Step 106. Reward: 12.867635, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 828.172478. Return so far: 1039.955491. Done: 0. Took 264.162470 seconds!
Step 107. Reward: 12.944557, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 828.459309. Return so far: 1052.900048. Done: 0. Took 263.047710 seconds!
Step 108. Reward: 12.922052, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 833.924227. Return so far: 1065.822100. Done: 0. Took 263.768126 seconds!
Step 109. Reward: 12.958979, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 833.789001. Return so far: 1078.781078. Done: 0. Took 262.584039 seconds!
Step 110. Reward: 12.928872, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 834.822824. Return so far: 1091.709951. Done: 0. Took 263.253086 seconds!
Step 111. Reward: 12.905276, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 833.920848. Return so far: 1104.615227. Done: 0. Took 262.588943 seconds!
Step 112. Reward: 12.916011, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 837.397302. Return so far: 1117.531238. Done: 0. Took 263.426516 seconds!
Step 113. Reward: 12.911406, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 847.704705. Return so far: 1130.442644. Done: 0. Took 315.178766 seconds!
Step 114. Reward: 12.905024, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 850.212337. Return so far: 1143.347668. Done: 0. Took 294.596637 seconds!
Step 115. Reward: 12.905273, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 855.900822. Return so far: 1156.252941. Done: 0. Took 289.728556 seconds!
Step 116. Reward: 12.901733, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 860.325984. Return so far: 1169.154674. Done: 0. Took 288.451963 seconds!
Step 117. Reward: 12.774099, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 862.606512. Return so far: 1181.928774. Done: 0. Took 285.830527 seconds!
Step 118. Reward: 12.830797, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 864.256892. Return so far: 1194.759571. Done: 0. Took 285.772679 seconds!
Step 119. Reward: 12.988473, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 865.547536. Return so far: 1207.748044. Done: 0. Took 284.073525 seconds!
Step 120. Reward: 13.113620, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 865.567972. Return so far: 1220.861664. Done: 0. Took 284.404577 seconds!
Step 121. Reward: 13.216288, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 868.402486. Return so far: 1234.077952. Done: 0. Took 284.122524 seconds!
Step 122. Reward: 13.185764, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 872.327599. Return so far: 1247.263716. Done: 0. Took 282.055193 seconds!
Step 123. Reward: 13.191997, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 872.543462. Return so far: 1260.455713. Done: 0. Took 282.712584 seconds!
Step 124. Reward: 13.163483, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 874.835156. Return so far: 1273.619196. Done: 0. Took 283.729896 seconds!
Step 125. Reward: 13.144095, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 875.431321. Return so far: 1286.763290. Done: 0. Took 282.157445 seconds!
Step 126. Reward: 13.143684, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 876.020706. Return so far: 1299.906974. Done: 0. Took 280.118144 seconds!
Step 127. Reward: 13.235252, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 876.444353. Return so far: 1313.142226. Done: 0. Took 284.989973 seconds!
